IN,OUT,Initial soc,cap
34,75,15.81,60
36,72,27.85,60
36,72,43.93,60
28,77,13.99,60
30,59,22.1,60
32,68,25.89,60
30,70,39.44,60
45,88,40.64,60
38,66,53.99,60
32,69,54.71,60
30,68,16.35,60
32,47,28.23,60
30,86,36.72,60
33,80,29.64,60
32,70,30.88,60
23,58,41.99,60
32,78,26.2,60
43,52,49.48,60
20,64,21.26,60
46,65,30.4,60
31,62,17.19,60
30,60,32.37,60
40,85,16.73,60
33,69,58.13,60
52,78,15.73,60
40,78,44.05,60
46,60,14.62,60
40,48,32.38,60
59,84,44.77,60
58,68,44.59,60
29,74,49.08,60
53,90,55.77,60
24,86,9.39,60
38,60,12.34,60
46,86,29.81,60
32,53,42.1,60
29,74,7.91,60
30,82,17.08,60
28,71,30.53,60
40,67,37.31,60
61,73,30.75,60
42,68,46.97,60
43,69,17.26,60
33,69,29.41,60
39,54,18.37,60
32,74,17.94,60
31,74,36.42,60
69,92,11.73,60
29,77,15.86,60
61,73,43.49,60
52,88,35.12,60
30,60,30.04,60
34,90,36.43,60
28,80,12.82,60
26,53,31.29,60
22,83,29.89,60
34,53,41.1,60
35,54,44.91,60
37,79,23.34,60
42,84,35.96,60
32,75,25.46,60
36,65,26.19,60
26,64,13.71,60
46,68,34.74,60
20,53,31.16,60
66,82,19.59,60
63,86,14.41,60
34,81,51.28,60
53,75,22.31,60
41,71,43.05,60
30,72,34.96,60
39,63,35.25,60
41,69,19.21,60
38,58,49.05,60
27,68,24.25,60
44,50,38.76,60
42,87,52.62,60
39,69,52.83,60
46,83,22.22,60
53,62,45.93,60
34,52,54.65,60
30,79,31.78,60
34,49,51.82,60
68,72,43.97,60
58,68,22.03,60
30,69,56.13,60
28,82,48.63,60
22,74,54.35,60
40,51,46.36,60
20,60,31.38,60
39,45,31.79,60
40,69,34.24,60
28,68,10.35,60
58,72,3.94,60
36,46,41.34,60
56,64,41.47,60
45,73,19.37,60
32,72,22.11,60
23,33,33.82,60
29,65,22.41,60
31,77,35.2,60
29,73,29.41,60
27,71,51.23,60
36,93,41.09,60
43,63,51.4,60
61,70,44.16,60
65,94,35.18,60
27,64,53.47,60
19,63,32.58,60
29,81,21.79,60
38,81,35.11,60
28,70,7.98,60
31,61,26.44,60
34,84,23.52,60
61,68,56.29,60
40,85,44.14,60
36,89,25.82,60
34,76,49.49,60
33,79,42.75,60
54,62,49.05,60
28,80,17.02,60
30,74,51.36,60
52,90,37.98,60
33,73,50.05,60
36,76,38.72,60
28,75,40.8,60
18,71,45.04,60
26,76,36.76,60
32,87,28.46,60
25,67,49.58,60
41,82,28.27,60
34,73,39.06,60
34,51,37.51,60
41,64,4.22,60
44,75,29.29,60
26,74,51.38,60
26,88,12.7,60
55,64,45.16,60
36,70,31.69,60
44,76,18.63,60
46,58,22.47,60
31,75,40.05,60
39,82,38.98,60
28,70,26.19,60
50,85,39.35,60
38,59,33.43,60
36,62,49.37,60
27,68,2.68,60
37,85,40,60
33,51,43.55,60
32,40,57.23,60
32,73,29.28,60
26,73,39.06,60
35,73,54.17,60
29,69,32.75,60
44,71,25.59,60
40,69,58.05,60
32,76,12.74,60
27,77,26.26,60
48,65,14.96,60
34,42,51.2,60
41,48,52.9,60
34,74,10.24,60
68,74,32.5,60
29,72,12,60
17,69,13.21,60
35,73,55.57,60
26,72,36.62,60
19,46,19.32,60
33,91,30.21,60
28,64,54.41,60
32,81,38.09,60
27,75,19.25,60
30,69,38.31,60
24,90,17.14,60
30,71,10.76,60
56,61,43.17,60
22,52,54.72,60
61,76,38.97,60
18,77,43.45,60
60,77,18.49,60
27,69,35.09,60
28,68,6.11,60
36,58,23.36,60
18,71,30,60
44,70,48.23,60
32,75,14.77,60
54,72,16.26,60
32,70,7.86,60
44,64,20,60
22,59,2.51,60
30,62,55.87,60
28,59,18.79,60
38,69,56.18,60
67,83,30.99,60
33,72,25.17,60
28,82,41.81,60
29,87,34.48,60
64,79,41.26,60
28,69,56.5,60
30,65,40.43,60
42,86,11.6,60
30,68,19.91,60
22,73,11.48,60
37,72,33.77,60
28,68,26.9,60
54,65,54.78,60
37,45,32.02,60
30,68,32.72,60
39,49,38.86,60
30,77,56.53,60
34,68,11.16,60
30,74,16.15,60
40,63,16.69,60
38,70,12.19,60
32,46,30.39,60
53,64,30.42,60
44,74,56.39,60
42,70,23.51,60
29,62,22.28,60
52,59,54.35,60
