ID,IN,OUT,soc,cap
121069,34,75,15.81,60
88550,36,72,27.85,60
141069,36,72,43.93,60
5577,28,77,13.99,60
16716,30,59,22.1,60
138110,32,68,25.89,60
41854,30,70,39.44,60
74789,45,88,40.64,60
64168,38,66,53.99,60
63839,32,69,54.71,60
80888,30,68,16.35,60
8163,32,47,28.23,60
133027,30,86,36.72,60
139931,33,80,29.64,60
136872,32,70,30.88,60
99956,23,58,41.99,60
2459,32,78,26.2,60
320,43,52,49.48,60
99189,20,64,21.26,60
111683,46,65,30.4,60
137926,31,62,17.19,60
81307,30,60,32.37,60
30967,40,85,16.73,60
123013,33,69,58.13,60
22689,52,78,15.73,60
8467,40,78,44.05,60
37725,46,60,14.62,60
27990,40,48,32.38,60
51267,59,84,44.77,60
67492,58,68,44.59,60
149262,29,74,49.08,60
31951,53,90,55.77,60
62748,24,86,9.39,60
18064,38,60,12.34,60
8963,46,86,29.81,60
49703,32,53,42.1,60
1209,29,74,7.91,60
98025,30,82,17.08,60
61197,28,71,30.53,60
140431,40,67,37.31,60
57187,61,73,30.75,60
144249,42,68,46.97,60
26425,43,69,17.26,60
155318,33,69,29.41,60
108439,39,54,18.37,60
70698,32,74,17.94,60
120807,31,74,36.42,60
107936,69,92,11.73,60
104774,29,77,15.86,60
155165,61,73,43.49,60
16726,52,88,35.12,60
128244,30,60,30.04,60
94812,34,90,36.43,60
106199,28,80,12.82,60
94755,26,53,31.29,60
87210,22,83,29.89,60
133056,34,53,41.1,60
514,35,54,44.91,60
13660,37,79,23.34,60
24206,42,84,35.96,60
61308,32,75,25.46,60
93765,36,65,26.19,60
83929,26,64,13.71,60
57546,46,68,34.74,60
4107,20,53,31.16,60
60115,66,82,19.59,60
27773,63,86,14.41,60
56643,34,81,51.28,60
37069,53,75,22.31,60
28848,41,71,43.05,60
83112,30,72,34.96,60
25107,39,63,35.25,60
117563,41,69,19.21,60
78369,38,58,49.05,60
155277,27,68,24.25,60
91036,44,50,38.76,60
28518,42,87,52.62,60
13175,39,69,52.83,60
29453,46,83,22.22,60
4464,53,62,45.93,60
77966,34,52,54.65,60
72862,30,79,31.78,60
148480,34,49,51.82,60
140965,68,72,43.97,60
56022,58,68,22.03,60
3202,30,69,56.13,60
56524,28,82,48.63,60
28623,22,74,54.35,60
72601,40,51,46.36,60
110730,20,60,31.38,60
107131,39,45,31.79,60
131269,40,69,34.24,60
43045,28,68,10.35,60
62705,58,72,3.94,60
133738,36,46,41.34,60
113597,56,64,41.47,60
132024,45,73,19.37,60
36358,32,72,22.11,60
103714,23,33,33.82,60
38167,29,65,22.41,60
91701,31,77,35.2,60
152312,29,73,29.41,60
37923,27,71,51.23,60
130315,36,93,41.09,60
119088,43,63,51.4,60
47159,61,70,44.16,60
145628,65,94,35.18,60
26,27,64,53.47,60
62856,19,63,32.58,60
109303,29,81,21.79,60
124097,38,81,35.11,60
101604,28,70,7.98,60
17551,31,61,26.44,60
29200,34,84,23.52,60
84767,61,68,56.29,60
153755,40,85,44.14,60
104393,36,89,25.82,60
1243,34,76,49.49,60
122626,33,79,42.75,60
133538,54,62,49.05,60
66524,28,80,17.02,60
133847,30,74,51.36,60
58286,52,90,37.98,60
116073,33,73,50.05,60
110623,36,76,38.72,60
43156,28,75,40.8,60
52423,18,71,45.04,60
135272,26,76,36.76,60
56547,32,87,28.46,60
116780,25,67,49.58,60
82410,41,82,28.27,60
45252,34,73,39.06,60
40832,34,51,37.51,60
7544,41,64,4.22,60
10229,44,75,29.29,60
29328,26,74,51.38,60
82436,26,88,12.7,60
155396,55,64,45.16,60
137438,36,70,31.69,60
117501,44,76,18.63,60
22340,46,58,22.47,60
29568,31,75,40.05,60
111960,39,82,38.98,60
78817,28,70,26.19,60
62461,50,85,39.35,60
38642,38,59,33.43,60
83881,36,62,49.37,60
76387,27,68,2.68,60
137495,37,85,40,60
66781,33,51,43.55,60
146128,32,40,57.23,60
118533,32,73,29.28,60
17034,26,73,39.06,60
42911,35,73,54.17,60
65069,29,69,32.75,60
121591,44,71,25.59,60
24902,40,69,58.05,60
99740,32,76,12.74,60
127721,27,77,26.26,60
22858,48,65,14.96,60
137610,34,42,51.2,60
77459,41,48,52.9,60
125130,34,74,10.24,60
109014,68,74,32.5,60
76438,29,72,12,60
69155,17,69,13.21,60
29834,35,73,55.57,60
137303,26,72,36.62,60
124026,19,46,19.32,60
153829,33,91,30.21,60
143134,28,64,54.41,60
105921,32,81,38.09,60
60515,27,75,19.25,60
93533,30,69,38.31,60
26711,24,90,17.14,60
20525,30,71,10.76,60
26231,56,61,43.17,60
69608,22,52,54.72,60
115414,61,76,38.97,60
93223,18,77,43.45,60
146917,60,77,18.49,60
