ID,IN,OUT,soc,cap
121069,510,1115,0.263569362,60
88550,540,1080,0.464119914,60
141069,540,1071,0.732108149,60
5577,420,1150,0.233158771,60
16716,450,884,0.368278192,60
138110,480,1007,0.431558041,60
41854,440,1050,0.657307654,60
74789,675,1311,0.677289665,60
64168,569,985,0.899886793,60
63839,470,1027,0.911781249,60
80888,439,1015,0.272442867,60
8163,474,702,0.470437467,60
133027,450,1290,0.611927034,60
139931,495,1190,0.49397705,60
136872,480,1050,0.514663384,60
99956,345,859,0.699891885,60
2459,480,1160,0.436641354,60
320,632,768,0.824627512,60
99189,300,950,0.354350492,60
111683,690,975,0.506714452,60
137926,465,930,0.286524,60
54138,780,880,0.31182018,60
81307,450,888,0.539426036,60
30967,590,1265,0.278882901,60
123013,495,1025,0.968853793,60
22689,780,1170,0.262179861,60
8467,600,1165,0.734228834,60
37725,690,900,0.243583446,60
27990,600,712,0.53967226,60
51267,885,1260,0.746224512,60
67492,870,1020,0.743128342,60
149262,435,1110,0.81802895,60
31951,790,1336,0.92945572,60
62748,350,1280,0.156430758,60
18064,570,900,0.205636298,60
8963,690,1280,0.496841249,60
49703,480,790,0.701718507,60
1209,430,1101,0.131794124,60
98025,450,1230,0.284625732,60
61197,420,1054,0.508753817,60
140431,600,1005,0.621826571,60
57187,915,1095,0.512445108,60
144249,630,1020,0.78283325,60
26425,637,1025,0.287741333,60
155318,495,1023,0.490187131,60
108439,575,805,0.30622083,60
70698,476,1098,0.299016457,60
120807,465,1106,0.607053205,60
107936,1035,1380,0.195555626,60
104774,427,1151,0.26428645,60
155165,904,1081,0.72491404,60
16726,780,1310,0.585319638,60
128244,450,900,0.500677839,60
94812,510,1350,0.607089556,60
106199,420,1200,0.213664658,60
94755,390,790,0.521433642,60
87210,325,1240,0.498153167,60
133056,510,794,0.685024194,60
514,520,810,0.748489824,60
13660,555,1180,0.388982963,60
24206,630,1255,0.599327184,60
61308,469,1121,0.424358401,60
93765,540,961,0.436449597,60
83929,390,955,0.228458042,60
57546,690,1015,0.579010579,60
4107,300,791,0.519377077,60
60115,990,1230,0.326504224,60
27773,945,1290,0.240166108,60
56643,505,1210,0.854707274,60
37069,795,1120,0.371837011,60
28848,610,1060,0.717428429,60
83112,450,1080,0.582707463,60
25107,582,933,0.587499596,60
117563,610,1032,0.320097325,60
78369,570,870,0.817513166,60
155277,405,1010,0.404123262,60
91036,660,750,0.645939889,60
28518,625,1305,0.877002526,60
13175,585,1033,0.88051008,60
29453,690,1245,0.370316417,60
4464,785,925,0.76546062,60
77966,510,770,0.910782979,60
72862,440,1185,0.52964256,60
148480,510,735,0.863600066,60
140965,1020,1080,0.732782201,60
56022,865,1010,0.36716051,60
3202,440,1030,0.93551231,60
56524,420,1226,0.81046045,60
28623,330,1110,0.905771019,60
72601,600,765,0.772720573,60
110730,300,900,0.523080462,60
107131,585,665,0.529839349,60
131269,600,1035,0.570648328,60
43045,420,1020,0.172421247,60
62705,870,1075,0.065661684,60
133738,540,690,0.689022739,60
113597,840,960,0.691236957,60
132024,675,1085,0.322809547,60
36358,470,1071,0.368530698,60
103714,345,495,0.563741553,60
38167,432,965,0.373536603,60
91701,465,1150,0.586687599,60
152312,428,1090,0.490187393,60
37923,405,1055,0.85379059,60
27096,930,933,0.83577345,60
130315,540,1385,0.684780598,60
119088,637,932,0.856721633,60
47159,915,1040,0.735967947,60
145628,970,1400,0.58637283,60
26,392,948,0.891196549,60
62856,285,945,0.542957442,60
109303,423,1212,0.363223613,60
124097,570,1215,0.585237268,60
101604,420,1045,0.132977726,60
17551,465,915,0.440619483,60
29200,505,1255,0.391928624,60
84767,905,1010,0.93811797,60
153755,600,1275,0.735733628,60
104393,540,1335,0.430312104,60
1243,510,1130,0.824762105,60
122626,495,1181,0.712479917,60
